Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-05-08,15056.2,15106.81,15021.87,15105.12,113432797
2013-05-09,15105.12,15144.83,15046.87,15082.62,97818022
2013-05-10,15082.62,15118.49,15038.18,15118.49,98981388
2013-05-13,15113.42,15113.42,15053.46,15091.68,94270778
2013-05-14,15092.15,15219.55,15089.3,15215.25,124533131
2013-05-15,15211.87,15301.34,15175.39,15275.69,123953314
2013-05-16,15273.92,15302.49,15215.82,15233.22,145110669
2013-05-17,15234.75,15357.4,15234.75,15354.4,175790088
2013-05-20,15348.33,15391.84,15314.15,15335.28,116438946
2013-05-21,15334.97,15434.5,15325.68,15387.58,122957576
2013-05-22,15387.12,15542.4,15265.96,15307.17,171890097
2013-05-23,15300.57,15348.41,15180.23,15294.5,148727583
2013-05-24,15290.74,15306.71,15199.63,15303.1,105661068
2013-05-28,15307.33,15521.49,15307.33,15409.39,130692357
2013-05-29,15399.94,15400.25,15229.53,15302.8,114112636
2013-05-30,15306.02,15398.7,15280.99,15324.53,121195781
2013-05-31,15322.22,15392.38,15115.57,15115.57,208872292
2013-06-03,15123.55,15254.11,15123.55,15254.03,148066979
2013-06-04,15255.22,15304.98,15100.78,15177.54,134306438
2013-06-05,15168.1,15168.63,14945.57,14960.59,141381678
2013-06-06,14955.45,15040.62,14844.22,15040.62,140328334
2013-06-07,15044.46,15255.58,15044.46,15248.12,137292265
2013-06-10,15247.81,15300.64,15211.25,15238.59,94243153
2013-06-11,15231.38,15251.07,15086.09,15122.02,101676448
2013-06-12,15130.39,15241.28,14981.21,14995.23,105832469
2013-06-13,14992.54,15202.27,14953.45,15176.08,104433250
2013-06-14,15178.08,15205.92,15044.8,15070.18,107382554
2013-06-17,15078.71,15261.71,15078.71,15179.85,139308123
2013-06-18,15186.3,15340.09,15186.3,15318.23,99203734
2013-06-19,15315.47,15322.07,15112.11,15112.19,111283544
2013-06-20,15105.51,15105.51,14732.03,14758.32,172716511
2013-06-21,14760.62,14858.56,14688.43,14799.4,420172661
2013-06-24,14795.79,14795.79,14551.27,14659.56,158751772
2013-06-25,14669.69,14812.03,14669.69,14760.31,135949351
2013-06-26,14769.99,14938.98,14769.68,14910.14,133276803
2013-06-27,14921.28,15075.01,14921.28,15024.49,113559204
2013-06-28,15016.58,15034.63,14884.8,14909.6,230084707
2013-07-01,14911.6,15083.28,14911.6,14974.96,120474902
2013-07-02,14973.04,15049.22,14870.51,14932.41,116652941
2013-07-03,14923.73,15025.9,14858.93,14988.55,60991033
2013-07-05,14995.46,15137.51,14971.2,15135.84,94560769
2013-07-08,15137.22,15262.72,15137.22,15224.69,136817431
2013-07-09,15228.46,15320.42,15228.46,15300.34,109311164
2013-07-10,15298.03,15348.95,15258.89,15291.66,105020142
2013-07-11,15298,15483.55,15298,15460.92,125018616
2013-07-12,15460.69,15498.39,15410.27,15464.3,130064999
2013-07-15,15459.69,15509.48,15455.77,15484.26,99424934
2013-07-16,15485.03,15498.16,15415.71,15451.85,105894403
2013-07-17,15456.92,15502,15438.12,15470.52,126140376
2013-07-18,15465.91,15589.4,15465.91,15548.54,136318816
2013-07-19,15524.27,15544.55,15491.96,15543.74,229234681
2013-07-22,15543.97,15576.21,15516.2,15545.55,180838380
2013-07-23,15547,15604.22,15544.06,15567.74,98694369
2013-07-24,15576.69,15602.6,15496.84,15542.24,99325970
2013-07-25,15539.17,15560.33,15455.59,15555.61,103286367
2013-07-26,15547.85,15560.97,15405.16,15558.83,94881188
2013-07-29,15557.14,15557.14,15482.27,15521.97,87241014
2013-07-30,15534.49,15593.91,15479.13,15520.59,117616164
2013-07-31,15528.57,15634.32,15492.96,15499.54,145070199
2013-08-01,15503.85,15650.69,15503.85,15628.02,111001742
2013-08-02,15627.56,15658.43,15558.68,15658.36,104887604
2013-08-05,15651.98,15655.21,15584.83,15612.13,76850495
2013-08-06,15608.44,15608.44,15473.4,15518.74,87729708
2013-08-07,15516.21,15516.21,15421.75,15470.67,88437520
2013-08-08,15477.27,15557.12,15418.6,15498.32,90981530
2013-08-09,15496.63,15507.76,15346.65,15425.51,81177758
2013-08-12,15415.22,15441.75,15359.93,15419.68,78064712
2013-08-13,15420.68,15504.14,15342.34,15451.01,84780820
2013-08-14,15447.71,15453.08,15316.62,15337.66,91037099
2013-08-15,15332.71,15332.71,15094.03,15112.19,128437577
2013-08-16,15112.57,15139.77,15054.38,15081.47,151562544
2013-08-19,15076.79,15106.39,15005.42,15010.74,111638294
2013-08-20,15011.82,15074.92,14992.16,15002.99,102257291
2013-08-21,14993.81,15019.7,14880.84,14897.55,98330559
2013-08-22,14908.6,14989.12,14899,14963.74,153508914
2013-08-23,14988.78,15025.56,14931.24,15010.51,131786817
2013-08-26,15014.58,15049.98,14945.24,14946.46,102806325
2013-08-27,14939.25,14939.25,14765.42,14776.13,118566671
2013-08-28,14770.99,14867.4,14760.41,14824.51,104678015
2013-08-29,14817.91,14916.01,14792.11,14840.95,93172587
2013-08-30,14844.1,14848.24,14762.35,14810.31,135849995
2013-09-03,14801.55,14933.35,14777.48,14833.96,142545280
2013-09-04,14832.42,14956.74,14799.09,14930.87,122142703
2013-09-05,14929.49,14987.47,14923.27,14937.48,101089663
2013-09-06,14941.55,15009.84,14789.4,14922.5,108342523
2013-09-09,14927.19,15088.41,14927.19,15063.12,90652481
2013-09-10,15067.23,15192.13,15067.23,15191.06,103268739
